id;service_type;item_name;quantity;weight;rate;amount;service_name;karat_type;expected_karat_type;added_alloy;alloy_quantity;service_charge;free_check;hall_marked_text;weight_of_free_check
1;reboot virtual cyan;Designer Refined Dynamic;17982;36396;36934;10020;gold Practical;services;calculating;CU;40286;33892;43368;Account program;Bhutan Plastic Washington
2;interface National Republic;Team-oriented Brooks Harbors;7014;73191;75090;50690;Money;Forward array lavender;Locks synthesizing;CU;99818;17608;42862;generating Soft;Buckinghamshire
3;azure Communications;driver;80636;44774;80570;31856;approach;Chief;South fuchsia;CU;38267;28157;48322;Regional digital;User Somoni action-items
4;withdrawal withdrawal;60 Internal;99336;54880;18277;16694;Account Incredible;mint withdrawal Village;next-generation website;AU;51157;29603;61212;Bangladesh;Intelligent
5;Regional empowering;Connecticut synthesizing;97297;59316;73363;62171;success;Usability Afghani Multi-tiered;invoice Rican Cambridgeshire;AU;88452;96369;80445;Boliviano portals functionalities;Metal
6;Central policy;Account intranet;49177;4425;15231;95934;Coordinator Pre-emptive;connecting PCI;Account Granite needs-based;CU;51961;91339;57787;Producer;embrace Automotive navigate
7;envisioneer Senegal Nebraska;Leu protocol Malaysia;25196;99260;9784;32346;Principal Human web-enabled;Buckinghamshire Small overriding;Beauty Adaptive;CU;74563;57607;22733;Versatile generating;User-friendly payment
8;Producer vertical;Wooden Generic Cambridgeshire;53034;38012;16879;57805;Prairie matrix Specialist;revolutionize Maine transmitter;Real Expanded;AU;7529;44391;75505;fuchsia up;Bedfordshire Kids user-centric
9;override;purple Borders Sao;93282;88142;60488;22024;Sausages reciprocal;Wooden Money;Via dot-com Loan;AU;86190;40886;78000;customized Cuban didactic;Tasty
10;Groves;EXE dynamic;41546;43730;18760;87702;integrate Namibia Maryland;generate Metal e-tailers;interface Refined;SI;89614;79509;67987;copying;database
